Frame,Emotion,Emotion_Confidence,Pose_Roll,Pose_Yaw,Pose_Pitch,Eye_Yaw,Eye_Pitch
111,CALM,95.81473541259766,-2.1035847663879395,2.004589319229126,4.195385932922363,-0.5271080732345581,-10.947532653808594
112,CALM,97.76786041259766,-1.9828948974609375,1.955193042755127,4.28147554397583,-0.36677253246307373,-11.370152473449707
113,CALM,98.60491180419922,-1.8656431436538696,2.129162073135376,4.291271209716797,-0.24453982710838318,-11.418476104736328
114,CALM,99.0234375,-1.7912250757217407,2.100432872772217,4.081619739532471,-0.3446500301361084,-11.508638381958008
115,CALM,99.30245208740234,-1.8050000667572021,2.170759677886963,4.018301963806152,-0.2861195206642151,-11.7910737991333
116,CALM,99.30245208740234,-1.7735556364059448,2.0192010402679443,4.1963605880737305,-0.41087982058525085,-11.591165542602539
117,CALM,99.16294860839844,-1.743939757347107,2.000725746154785,4.003983974456787,0.18154264986515045,-11.263565063476562
118,CALM,99.0234375,-1.8765110969543457,1.8786656856536865,4.3918938636779785,0.39721131324768066,-11.437902450561523
119,CALM,98.88392639160156,-2.547926902770996,1.9924358129501343,4.8947930335998535,0.47366103529930115,-11.81676959991455
120,CALM,97.69810485839844,-3.111147165298462,2.233794689178467,5.724048614501953,0.4143613874912262,-12.607263565063477
121,CALM,94.48939514160156,-3.447829008102417,2.776801347732544,5.936018943786621,-0.02666717953979969,-12.4783935546875
122,CALM,84.9560546875,-3.4786550998687744,2.893061637878418,5.241158485412598,-0.05418030172586441,-12.76185131072998
123,CALM,92.11774444580078,-3.610865354537964,2.761622190475464,5.229239463806152,0.11857796460390091,-11.848146438598633
124,CALM,96.30301666259766,-3.9111146926879883,2.6226038932800293,4.6563873291015625,-0.20350563526153564,-11.20706558227539
125,CALM,97.55859375,-4.216901779174805,2.3508923053741455,4.627657890319824,-0.4226101338863373,-10.186044692993164
126,CALM,95.67522430419922,-4.928762912750244,2.0218100547790527,4.154733657836914,-0.09182703495025635,-10.327577590942383
127,CALM,90.86216735839844,-5.86985969543457,1.9430139064788818,3.465287208557129,0.45287391543388367,-9.854816436767578
